[Report Generation Time (2018/09/17 17:58:22.766 )]
[GSM FHC]
 Start Time:09/17/18 17:58:13.968 
    Total: 4295 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        13,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3953,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.752809,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.500, 8.500, -8.500, PASS
150, 3.500, 8.500, -8.500, PASS
160, 3.375, 8.500, -8.500, PASS
170, 3.250, 8.500, -8.500, PASS
180, 3.250, 8.500, -8.500, PASS
190, 3.250, 8.500, -8.500, PASS
200, 3.125, 8.500, -8.500, PASS
210, 3.125, 8.500, -8.500, PASS
220, 3.125, 8.500, -8.500, PASS
230, 3.125, 8.500, -8.500, PASS
240, 3.250, 8.500, -8.500, PASS
251, 3.250, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.500, 8.500, -8.500, PASS
30, 3.500, 8.500, -8.500, PASS
45, 3.625, 8.500, -8.500, PASS
55, 3.625, 8.500, -8.500, PASS
65, 3.625, 8.500, -8.500, PASS
75, 3.500, 8.500, -8.500, PASS
90, 3.500, 8.500, -8.500, PASS
105, 3.375, 8.500, -8.500, PASS
975, 3.125, 8.500, -8.500, PASS
1000, 3.250, 8.500, -8.500, PASS
1010, 3.250, 8.500, -8.500, PASS
1023, 3.375, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 1.000, 8.500, -9.500, PASS
570, 1.125, 8.500, -9.500, PASS
600, 1.250, 8.500, -9.500, PASS
630, 1.125, 8.500, -9.500, PASS
670, 1.125, 8.500, -9.500, PASS
700, 1.000, 8.500, -9.500, PASS
730, 1.125, 8.500, -9.500, PASS
760, 1.125, 8.500, -9.500, PASS
790, 1.125, 8.500, -9.500, PASS
820, 1.125, 8.500, -9.500, PASS
850, 1.125, 8.500, -9.500, PASS
885, 1.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.875, 8.500, -9.500, PASS
550, 0.875, 8.500, -9.500, PASS
570, 1.000, 8.500, -9.500, PASS
600, 1.000, 8.500, -9.500, PASS
630, 1.000, 8.500, -9.500, PASS
660, 1.000, 8.500, -9.500, PASS
690, 1.125, 8.500, -9.500, PASS
720, 1.250, 8.500, -9.500, PASS
750, 1.375, 8.500, -9.500, PASS
770, 1.500, 8.500, -9.500, PASS
790, 1.625, 8.500, -9.500, PASS
810, 1.625, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/17/18 17:58:18.463 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4188 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 487, 32.50000, 1.00000
1, 190, 6, 385, 30.50000, 1.00000
1, 190, 7, 342, 29.10000, 1.00000
1, 190, 8, 297, 27.10000, 1.00000
1, 190, 9, 264, 25.10000, 1.00000
1, 190, 10, 237, 23.10000, 1.00000
1, 190, 11, 218, 21.10000, 1.00000
1, 190, 12, 202, 19.10000, 1.00000
1, 190, 13, 189, 17.10000, 1.00000
1, 190, 14, 178, 15.10000, 1.00000
1, 190, 15, 168, 13.10000, 1.00000
1, 190, 16, 159, 11.00000, 1.00000
1, 190, 17, 152, 9.00000, 1.00000
1, 190, 18, 145, 7.00000, 1.00000
1, 190, 19, 140, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 500, 32.50000, 1.00000
2, 65, 6, 401, 30.50000, 1.00000
2, 65, 7, 357, 29.10000, 1.00000
2, 65, 8, 311, 27.10000, 1.00000
2, 65, 9, 276, 25.10000, 1.00000
2, 65, 10, 249, 23.10000, 1.00000
2, 65, 11, 228, 21.10000, 1.00000
2, 65, 12, 211, 19.10000, 1.00000
2, 65, 13, 198, 17.10000, 1.00000
2, 65, 14, 186, 15.10000, 1.00000
2, 65, 15, 176, 13.10000, 1.00000
2, 65, 16, 166, 11.00000, 1.00000
2, 65, 17, 158, 9.00000, 1.00000
2, 65, 18, 151, 7.00000, 1.00000
2, 65, 19, 145, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 526, 29.50000, 1.00000
3, 700, 1, 419, 27.50000, 1.00000
3, 700, 2, 370, 26.00000, 1.00000
3, 700, 3, 322, 24.00000, 1.00000
3, 700, 4, 285, 22.00000, 1.00000
3, 700, 5, 256, 20.00000, 1.00000
3, 700, 6, 233, 18.00000, 1.00000
3, 700, 7, 216, 16.00000, 1.00000
3, 700, 8, 201, 14.00000, 1.00000
3, 700, 9, 189, 12.00000, 1.00000
3, 700, 10, 179, 10.00000, 1.00000
3, 700, 11, 170, 8.00000, 1.00000
3, 700, 12, 163, 6.20000, 1.00000
3, 700, 13, 156, 4.10000, 1.00000
3, 700, 14, 151, 2.50000, 1.00000
3, 700, 15, 145, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 508, 29.50000, 1.00000
4, 660, 1, 412, 27.40000, 1.00000
4, 660, 2, 364, 25.80000, 1.00000
4, 660, 3, 323, 24.00000, 1.00000
4, 660, 4, 288, 22.00000, 1.00000
4, 660, 5, 261, 20.00000, 1.00000
4, 660, 6, 238, 18.00000, 1.00000
4, 660, 7, 221, 16.00000, 1.00000
4, 660, 8, 206, 14.00000, 1.00000
4, 660, 9, 194, 12.00000, 1.00000
4, 660, 10, 183, 10.00000, 1.00000
4, 660, 11, 173, 7.90000, 1.00000
4, 660, 12, 165, 5.90000, 1.00000
4, 660, 13, 158, 3.90000, 1.00000
4, 660, 14, 153, 2.40000, 1.00000
4, 660, 15, 147, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.56812, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.52988, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.14780, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.13105, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.14496, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.10969, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.20215, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.18955, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.20484, 17.10000, 16.50000, 17.80000, PASS
