[Report Generation Time (2018/09/17 16:26:55.859 )]
[GSM FHC]
 Start Time:09/17/18 16:26:46.336 
    Total: 3846 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        14,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
54418
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4134,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.750, 8.500, -8.500, PASS
150, 3.625, 8.500, -8.500, PASS
160, 3.500, 8.500, -8.500, PASS
170, 3.375, 8.500, -8.500, PASS
180, 3.375, 8.500, -8.500, PASS
190, 3.250, 8.500, -8.500, PASS
200, 3.125, 8.500, -8.500, PASS
210, 3.125, 8.500, -8.500, PASS
220, 3.000, 8.500, -8.500, PASS
230, 3.000, 8.500, -8.500, PASS
240, 3.125, 8.500, -8.500, PASS
251, 3.125, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.000, 8.500, -8.500, PASS
30, 3.125, 8.500, -8.500, PASS
45, 3.250, 8.500, -8.500, PASS
55, 3.250, 8.500, -8.500, PASS
65, 3.250, 8.500, -8.500, PASS
75, 3.250, 8.500, -8.500, PASS
90, 3.125, 8.500, -8.500, PASS
105, 3.000, 8.500, -8.500, PASS
975, 2.875, 8.500, -8.500, PASS
1000, 2.875, 8.500, -8.500, PASS
1010, 2.875, 8.500, -8.500, PASS
1023, 2.875, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.000, 8.500, -9.500, PASS
570, 0.125, 8.500, -9.500, PASS
600, 0.250, 8.500, -9.500, PASS
630, 0.250, 8.500, -9.500, PASS
670, 0.250, 8.500, -9.500, PASS
700, 0.125, 8.500, -9.500, PASS
730, 0.250, 8.500, -9.500, PASS
760, 0.250, 8.500, -9.500, PASS
790, 0.375, 8.500, -9.500, PASS
820, 0.375, 8.500, -9.500, PASS
850, 0.375, 8.500, -9.500, PASS
885, 0.375, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.375, 8.500, -9.500, PASS
550, 0.375, 8.500, -9.500, PASS
570, 0.500, 8.500, -9.500, PASS
600, 0.625, 8.500, -9.500, PASS
630, 0.625, 8.500, -9.500, PASS
660, 0.625, 8.500, -9.500, PASS
690, 0.750, 8.500, -9.500, PASS
720, 0.875, 8.500, -9.500, PASS
750, 1.125, 8.500, -9.500, PASS
770, 1.250, 8.500, -9.500, PASS
790, 1.375, 8.500, -9.500, PASS
810, 1.375, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/17/18 16:26:50.284 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 5275 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 506, 32.50000, 1.00000
1, 190, 6, 402, 30.50000, 1.00000
1, 190, 7, 354, 29.10000, 1.00000
1, 190, 8, 306, 27.10000, 1.00000
1, 190, 9, 271, 25.10000, 1.00000
1, 190, 10, 243, 23.10000, 1.00000
1, 190, 11, 221, 21.10000, 1.00000
1, 190, 12, 204, 19.10000, 1.00000
1, 190, 13, 190, 17.10000, 1.00000
1, 190, 14, 179, 15.10000, 1.00000
1, 190, 15, 169, 13.10000, 1.00000
1, 190, 16, 160, 11.00000, 1.00000
1, 190, 17, 152, 9.00000, 1.00000
1, 190, 18, 146, 7.00000, 1.00000
1, 190, 19, 140, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 500, 32.50000, 1.00000
2, 65, 6, 402, 30.50000, 1.00000
2, 65, 7, 358, 29.10000, 1.00000
2, 65, 8, 311, 27.10000, 1.00000
2, 65, 9, 276, 25.10000, 1.00000
2, 65, 10, 249, 23.10000, 1.00000
2, 65, 11, 227, 21.10000, 1.00000
2, 65, 12, 211, 19.10000, 1.00000
2, 65, 13, 197, 17.10000, 1.00000
2, 65, 14, 185, 15.10000, 1.00000
2, 65, 15, 175, 13.10000, 1.00000
2, 65, 16, 165, 11.00000, 1.00000
2, 65, 17, 157, 9.00000, 1.00000
2, 65, 18, 150, 7.00000, 1.00000
2, 65, 19, 144, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 477, 29.50000, 1.00000
3, 700, 1, 388, 27.50000, 1.00000
3, 700, 2, 346, 26.00000, 1.00000
3, 700, 3, 302, 24.00000, 1.00000
3, 700, 4, 269, 22.00000, 1.00000
3, 700, 5, 242, 20.00000, 1.00000
3, 700, 6, 222, 18.00000, 1.00000
3, 700, 7, 206, 16.00000, 1.00000
3, 700, 8, 193, 14.00000, 1.00000
3, 700, 9, 182, 12.00000, 1.00000
3, 700, 10, 172, 10.00000, 1.00000
3, 700, 11, 164, 8.00000, 1.00000
3, 700, 12, 157, 6.20000, 1.00000
3, 700, 13, 150, 4.10000, 1.00000
3, 700, 14, 146, 2.50000, 1.00000
3, 700, 15, 140, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 490, 29.50000, 1.00000
4, 660, 1, 398, 27.40000, 1.00000
4, 660, 2, 352, 25.80000, 1.00000
4, 660, 3, 313, 24.00000, 1.00000
4, 660, 4, 279, 22.00000, 1.00000
4, 660, 5, 252, 20.00000, 1.00000
4, 660, 6, 231, 18.00000, 1.00000
4, 660, 7, 214, 16.00000, 1.00000
4, 660, 8, 200, 14.00000, 1.00000
4, 660, 9, 188, 12.00000, 1.00000
4, 660, 10, 178, 10.00000, 1.00000
4, 660, 11, 169, 7.90000, 1.00000
4, 660, 12, 161, 5.90000, 1.00000
4, 660, 13, 154, 3.90000, 1.00000
4, 660, 14, 150, 2.40000, 1.00000
4, 660, 15, 144, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.56147, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.54990, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.13944, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.13181, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.15992, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.19538, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.14377, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.13505, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.08848, 17.10000, 16.50000, 17.80000, PASS
