[Report Generation Time (2018/09/17 16:26:22.963 )]
[GSM FHC]
 Start Time:09/17/18 16:26:14.598 
    Total: 3068 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        13,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3799,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.752809,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.500, 8.500, -8.500, PASS
150, 3.500, 8.500, -8.500, PASS
160, 3.375, 8.500, -8.500, PASS
170, 3.125, 8.500, -8.500, PASS
180, 3.125, 8.500, -8.500, PASS
190, 3.000, 8.500, -8.500, PASS
200, 3.000, 8.500, -8.500, PASS
210, 3.000, 8.500, -8.500, PASS
220, 2.875, 8.500, -8.500, PASS
230, 3.000, 8.500, -8.500, PASS
240, 3.000, 8.500, -8.500, PASS
251, 3.125, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.125, 8.500, -8.500, PASS
30, 3.125, 8.500, -8.500, PASS
45, 3.250, 8.500, -8.500, PASS
55, 3.250, 8.500, -8.500, PASS
65, 3.250, 8.500, -8.500, PASS
75, 3.250, 8.500, -8.500, PASS
90, 3.125, 8.500, -8.500, PASS
105, 3.000, 8.500, -8.500, PASS
975, 2.875, 8.500, -8.500, PASS
1000, 2.875, 8.500, -8.500, PASS
1010, 2.875, 8.500, -8.500, PASS
1023, 3.000, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.500, 8.500, -9.500, PASS
570, 0.625, 8.500, -9.500, PASS
600, 0.750, 8.500, -9.500, PASS
630, 0.750, 8.500, -9.500, PASS
670, 0.625, 8.500, -9.500, PASS
700, 0.625, 8.500, -9.500, PASS
730, 0.625, 8.500, -9.500, PASS
760, 0.750, 8.500, -9.500, PASS
790, 0.875, 8.500, -9.500, PASS
820, 0.875, 8.500, -9.500, PASS
850, 0.750, 8.500, -9.500, PASS
885, 0.625, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.500, 8.500, -9.500, PASS
550, 0.500, 8.500, -9.500, PASS
570, 0.625, 8.500, -9.500, PASS
600, 0.625, 8.500, -9.500, PASS
630, 0.625, 8.500, -9.500, PASS
660, 0.625, 8.500, -9.500, PASS
690, 0.625, 8.500, -9.500, PASS
720, 0.875, 8.500, -9.500, PASS
750, 1.000, 8.500, -9.500, PASS
770, 1.125, 8.500, -9.500, PASS
790, 1.125, 8.500, -9.500, PASS
810, 1.250, 8.500, -9.500, PASS
 Start Time:09/17/18 16:26:17.811 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 492, 32.50000, 1.00000
1, 190, 6, 391, 30.50000, 1.00000
1, 190, 7, 345, 29.10000, 1.00000
1, 190, 8, 300, 27.10000, 1.00000
1, 190, 9, 266, 25.10000, 1.00000
1, 190, 10, 238, 23.10000, 1.00000
1, 190, 11, 218, 21.10000, 1.00000
1, 190, 12, 202, 19.10000, 1.00000
1, 190, 13, 189, 17.10000, 1.00000
1, 190, 14, 178, 15.10000, 1.00000
1, 190, 15, 168, 13.10000, 1.00000
1, 190, 16, 160, 11.00000, 1.00000
1, 190, 17, 152, 9.00000, 1.00000
1, 190, 18, 146, 7.00000, 1.00000
1, 190, 19, 141, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 496, 32.50000, 1.00000
2, 65, 6, 398, 30.50000, 1.00000
2, 65, 7, 354, 29.10000, 1.00000
2, 65, 8, 308, 27.10000, 1.00000
2, 65, 9, 274, 25.10000, 1.00000
2, 65, 10, 247, 23.10000, 1.00000
2, 65, 11, 226, 21.10000, 1.00000
2, 65, 12, 210, 19.10000, 1.00000
2, 65, 13, 196, 17.10000, 1.00000
2, 65, 14, 185, 15.10000, 1.00000
2, 65, 15, 175, 13.10000, 1.00000
2, 65, 16, 165, 11.00000, 1.00000
2, 65, 17, 158, 9.00000, 1.00000
2, 65, 18, 151, 7.00000, 1.00000
2, 65, 19, 145, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 485, 29.50000, 1.00000
3, 700, 1, 394, 27.50000, 1.00000
3, 700, 2, 350, 26.00000, 1.00000
3, 700, 3, 306, 24.00000, 1.00000
3, 700, 4, 272, 22.00000, 1.00000
3, 700, 5, 245, 20.00000, 1.00000
3, 700, 6, 225, 18.00000, 1.00000
3, 700, 7, 208, 16.00000, 1.00000
3, 700, 8, 195, 14.00000, 1.00000
3, 700, 9, 184, 12.00000, 1.00000
3, 700, 10, 174, 10.00000, 1.00000
3, 700, 11, 166, 8.00000, 1.00000
3, 700, 12, 159, 6.20000, 1.00000
3, 700, 13, 153, 4.10000, 1.00000
3, 700, 14, 148, 2.50000, 1.00000
3, 700, 15, 142, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 489, 29.50000, 1.00000
4, 660, 1, 397, 27.40000, 1.00000
4, 660, 2, 352, 25.80000, 1.00000
4, 660, 3, 313, 24.00000, 1.00000
4, 660, 4, 279, 22.00000, 1.00000
4, 660, 5, 252, 20.00000, 1.00000
4, 660, 6, 232, 18.00000, 1.00000
4, 660, 7, 215, 16.00000, 1.00000
4, 660, 8, 201, 14.00000, 1.00000
4, 660, 9, 189, 12.00000, 1.00000
4, 660, 10, 179, 10.00000, 1.00000
4, 660, 11, 170, 7.90000, 1.00000
