[Report Generation Time (2018/09/17 17:21:53.913 )]
[GSM FHC]
 Start Time:09/17/18 17:21:43.372 
    Total: 5022 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        14,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3988,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.625, 8.500, -8.500, PASS
150, 3.500, 8.500, -8.500, PASS
160, 3.375, 8.500, -8.500, PASS
170, 3.125, 8.500, -8.500, PASS
180, 3.125, 8.500, -8.500, PASS
190, 3.000, 8.500, -8.500, PASS
200, 3.000, 8.500, -8.500, PASS
210, 2.875, 8.500, -8.500, PASS
220, 2.875, 8.500, -8.500, PASS
230, 2.875, 8.500, -8.500, PASS
240, 3.000, 8.500, -8.500, PASS
251, 3.000, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.000, 8.500, -8.500, PASS
30, 3.125, 8.500, -8.500, PASS
45, 3.125, 8.500, -8.500, PASS
55, 3.125, 8.500, -8.500, PASS
65, 3.125, 8.500, -8.500, PASS
75, 3.125, 8.500, -8.500, PASS
90, 3.000, 8.500, -8.500, PASS
105, 2.875, 8.500, -8.500, PASS
975, 2.750, 8.500, -8.500, PASS
1000, 2.750, 8.500, -8.500, PASS
1010, 2.750, 8.500, -8.500, PASS
1023, 2.875, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.250, 8.500, -9.500, PASS
570, 0.375, 8.500, -9.500, PASS
600, 0.375, 8.500, -9.500, PASS
630, 0.375, 8.500, -9.500, PASS
670, 0.375, 8.500, -9.500, PASS
700, 0.375, 8.500, -9.500, PASS
730, 0.500, 8.500, -9.500, PASS
760, 0.500, 8.500, -9.500, PASS
790, 0.625, 8.500, -9.500, PASS
820, 0.625, 8.500, -9.500, PASS
850, 0.500, 8.500, -9.500, PASS
885, 0.500, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.750, 8.500, -9.500, PASS
550, 0.750, 8.500, -9.500, PASS
570, 0.875, 8.500, -9.500, PASS
600, 0.875, 8.500, -9.500, PASS
630, 1.000, 8.500, -9.500, PASS
660, 1.125, 8.500, -9.500, PASS
690, 1.250, 8.500, -9.500, PASS
720, 1.375, 8.500, -9.500, PASS
750, 1.500, 8.500, -9.500, PASS
770, 1.625, 8.500, -9.500, PASS
790, 1.750, 8.500, -9.500, PASS
810, 1.750, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/17/18 17:21:48.684 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 5127 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 499, 32.50000, 1.00000
1, 190, 6, 394, 30.50000, 1.00000
1, 190, 7, 347, 29.10000, 1.00000
1, 190, 8, 299, 27.10000, 1.00000
1, 190, 9, 264, 25.10000, 1.00000
1, 190, 10, 236, 23.10000, 1.00000
1, 190, 11, 215, 21.10000, 1.00000
1, 190, 12, 198, 19.10000, 1.00000
1, 190, 13, 185, 17.10000, 1.00000
1, 190, 14, 173, 15.10000, 1.00000
1, 190, 15, 164, 13.10000, 1.00000
1, 190, 16, 155, 11.00000, 1.00000
1, 190, 17, 148, 9.00000, 1.00000
1, 190, 18, 141, 7.00000, 1.00000
1, 190, 19, 136, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 493, 32.50000, 1.00000
2, 65, 6, 393, 30.50000, 1.00000
2, 65, 7, 350, 29.10000, 1.00000
2, 65, 8, 303, 27.10000, 1.00000
2, 65, 9, 268, 25.10000, 1.00000
2, 65, 10, 241, 23.10000, 1.00000
2, 65, 11, 221, 21.10000, 1.00000
2, 65, 12, 204, 19.10000, 1.00000
2, 65, 13, 191, 17.10000, 1.00000
2, 65, 14, 179, 15.10000, 1.00000
2, 65, 15, 169, 13.10000, 1.00000
2, 65, 16, 160, 11.00000, 1.00000
2, 65, 17, 152, 9.00000, 1.00000
2, 65, 18, 146, 7.00000, 1.00000
2, 65, 19, 140, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 479, 29.50000, 1.00000
3, 700, 1, 386, 27.50000, 1.00000
3, 700, 2, 343, 26.00000, 1.00000
3, 700, 3, 299, 24.00000, 1.00000
3, 700, 4, 266, 22.00000, 1.00000
3, 700, 5, 240, 20.00000, 1.00000
3, 700, 6, 220, 18.00000, 1.00000
3, 700, 7, 204, 16.00000, 1.00000
3, 700, 8, 191, 14.00000, 1.00000
3, 700, 9, 179, 12.00000, 1.00000
3, 700, 10, 170, 10.00000, 1.00000
3, 700, 11, 162, 8.00000, 1.00000
3, 700, 12, 155, 6.20000, 1.00000
3, 700, 13, 148, 4.10000, 1.00000
3, 700, 14, 144, 2.50000, 1.00000
3, 700, 15, 138, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 499, 29.50000, 1.00000
4, 660, 1, 399, 27.40000, 1.00000
4, 660, 2, 352, 25.80000, 1.00000
4, 660, 3, 313, 24.00000, 1.00000
4, 660, 4, 278, 22.00000, 1.00000
4, 660, 5, 251, 20.00000, 1.00000
4, 660, 6, 230, 18.00000, 1.00000
4, 660, 7, 213, 16.00000, 1.00000
4, 660, 8, 199, 14.00000, 1.00000
4, 660, 9, 187, 12.00000, 1.00000
4, 660, 10, 177, 10.00000, 1.00000
4, 660, 11, 167, 7.90000, 1.00000
4, 660, 12, 160, 5.90000, 1.00000
4, 660, 13, 153, 3.90000, 1.00000
4, 660, 14, 148, 2.40000, 1.00000
4, 660, 15, 142, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.55652, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.54471, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.16218, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.15076, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.15665, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.15916, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.16462, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.11881, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.19935, 17.10000, 16.50000, 17.80000, PASS
