[Report Generation Time (2018/09/20 09:26:47.099 )]
[GSM FHC]
 Start Time:09/20/18 09:26:39.263 
    Total: 3269 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3930,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.750, 8.500, -8.500, PASS
150, 3.625, 8.500, -8.500, PASS
160, 3.625, 8.500, -8.500, PASS
170, 3.375, 8.500, -8.500, PASS
180, 3.375, 8.500, -8.500, PASS
190, 3.250, 8.500, -8.500, PASS
200, 3.250, 8.500, -8.500, PASS
210, 3.125, 8.500, -8.500, PASS
220, 3.125, 8.500, -8.500, PASS
230, 3.125, 8.500, -8.500, PASS
240, 3.125, 8.500, -8.500, PASS
251, 3.250, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.250, 8.500, -8.500, PASS
30, 3.375, 8.500, -8.500, PASS
45, 3.500, 8.500, -8.500, PASS
55, 3.500, 8.500, -8.500, PASS
65, 3.500, 8.500, -8.500, PASS
75, 3.500, 8.500, -8.500, PASS
90, 3.375, 8.500, -8.500, PASS
105, 3.375, 8.500, -8.500, PASS
975, 3.000, 8.500, -8.500, PASS
1000, 3.000, 8.500, -8.500, PASS
1010, 3.125, 8.500, -8.500, PASS
1023, 3.125, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.125, 8.500, -9.500, PASS
570, 0.250, 8.500, -9.500, PASS
600, 0.375, 8.500, -9.500, PASS
630, 0.375, 8.500, -9.500, PASS
670, 0.250, 8.500, -9.500, PASS
700, 0.250, 8.500, -9.500, PASS
730, 0.250, 8.500, -9.500, PASS
760, 0.375, 8.500, -9.500, PASS
790, 0.375, 8.500, -9.500, PASS
820, 0.500, 8.500, -9.500, PASS
850, 0.375, 8.500, -9.500, PASS
885, 0.375, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.625, 8.500, -9.500, PASS
550, 0.750, 8.500, -9.500, PASS
570, 0.875, 8.500, -9.500, PASS
600, 0.875, 8.500, -9.500, PASS
630, 1.000, 8.500, -9.500, PASS
660, 1.000, 8.500, -9.500, PASS
690, 1.125, 8.500, -9.500, PASS
720, 1.375, 8.500, -9.500, PASS
750, 1.625, 8.500, -9.500, PASS
770, 1.750, 8.500, -9.500, PASS
790, 1.750, 8.500, -9.500, PASS
810, 1.875, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/20/18 09:26:42.649 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
GSM850, 14, 15.23713, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.24421, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 10.92509, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.09470, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.01993, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.03205, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.52802, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.54856, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.11567, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.12870, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.16520, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.18656, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.09312, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.06620, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.21888, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.22394, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.10920, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.14234, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.12791, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 7.17469, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.32313, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.52910, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.52418, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 26.00026, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 23.98750, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 21.98887, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 19.96373, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.96000, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.94340, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 13.91569, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 12.00685, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.98524, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.88447, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.30192, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.22575, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.57036, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.36561, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.53934, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.44171, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.83170, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.03180, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.03998, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.99619, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 18.02826, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 16.04407, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 14.03824, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 11.94818, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 10.09381, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.94876, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.97302, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.99921, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.47781, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.07987, 0.20000, -0.50000, 1.00000, PASS
[GSM Path Test]
 Start Time:09/20/18 09:26:47.069 
    Total: 27 ms
