[Report Generation Time (2018/09/17 16:35:06.448 )]
[GSM FHC]
 Start Time:09/17/18 16:34:58.116 
    Total: 3539 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        13,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4106,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.876614,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.250, 8.500, -8.500, PASS
150, 3.125, 8.500, -8.500, PASS
160, 3.125, 8.500, -8.500, PASS
170, 2.875, 8.500, -8.500, PASS
180, 2.875, 8.500, -8.500, PASS
190, 2.750, 8.500, -8.500, PASS
200, 2.625, 8.500, -8.500, PASS
210, 2.625, 8.500, -8.500, PASS
220, 2.625, 8.500, -8.500, PASS
230, 2.625, 8.500, -8.500, PASS
240, 2.625, 8.500, -8.500, PASS
251, 2.625, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.625, 8.500, -8.500, PASS
30, 2.750, 8.500, -8.500, PASS
45, 2.750, 8.500, -8.500, PASS
55, 2.750, 8.500, -8.500, PASS
65, 2.750, 8.500, -8.500, PASS
75, 2.750, 8.500, -8.500, PASS
90, 2.625, 8.500, -8.500, PASS
105, 2.500, 8.500, -8.500, PASS
975, 2.375, 8.500, -8.500, PASS
1000, 2.375, 8.500, -8.500, PASS
1010, 2.375, 8.500, -8.500, PASS
1023, 2.500, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, -0.125, 8.500, -9.500, PASS
570, 0.000, 8.500, -9.500, PASS
600, 0.000, 8.500, -9.500, PASS
630, 0.000, 8.500, -9.500, PASS
670, 0.000, 8.500, -9.500, PASS
700, 0.000, 8.500, -9.500, PASS
730, 0.125, 8.500, -9.500, PASS
760, 0.125, 8.500, -9.500, PASS
790, 0.125, 8.500, -9.500, PASS
820, 0.125, 8.500, -9.500, PASS
850, 0.125, 8.500, -9.500, PASS
885, 0.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.125, 8.500, -9.500, PASS
550, 0.250, 8.500, -9.500, PASS
570, 0.250, 8.500, -9.500, PASS
600, 0.375, 8.500, -9.500, PASS
630, 0.375, 8.500, -9.500, PASS
660, 0.500, 8.500, -9.500, PASS
690, 0.625, 8.500, -9.500, PASS
720, 0.750, 8.500, -9.500, PASS
750, 0.875, 8.500, -9.500, PASS
770, 1.000, 8.500, -9.500, PASS
790, 1.000, 8.500, -9.500, PASS
810, 1.125, 8.500, -9.500, PASS
 Start Time:09/17/18 16:35:01.762 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 12, 166, 5.90000, 1.00000
4, 660, 13, 159, 3.90000, 1.00000
4, 660, 14, 154, 2.40000, 1.00000
4, 660, 15, 148, 0.20000, 1.00000
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.54642, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.53245, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.15687, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.16111, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.12128, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.14451, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.17695, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.15220, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.06547, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.11588, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.24357, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.08024, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 8.89329, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.01328, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.24869, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.54484, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.53608, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.13438, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.14426, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.11768, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.15629, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.12833, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.18036, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.12668, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.20667, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.19956, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.14280, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.03654, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 6.97428, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.30356, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.53752, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.52235, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 25.99400, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.00627, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 21.99016, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 19.98124, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 17.92775, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.98094, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 13.89937, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.94636, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.85698, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 7.93892, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.01872, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.19587, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.48597, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.22770, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.54471, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.41797, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.83292, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.01154, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 21.98965, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.96924, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.99466, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 16.03317, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 13.93530, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 11.92270, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 9.97256, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.94986, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.91440, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.88199, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.27924, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.17004, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
    Total: 4446 ms
 Start Time:09/17/18 16:35:06.368 
    Total: 80 ms
