[Report Generation Time (2018/09/17 16:37:03.320 )]
[GSM FHC]
 Start Time:09/17/18 16:36:55.354 
    Total: 3659 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
58604
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4024,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.750, 8.500, -8.500, PASS
150, 3.750, 8.500, -8.500, PASS
160, 3.625, 8.500, -8.500, PASS
170, 3.375, 8.500, -8.500, PASS
180, 3.375, 8.500, -8.500, PASS
190, 3.250, 8.500, -8.500, PASS
200, 3.250, 8.500, -8.500, PASS
210, 3.125, 8.500, -8.500, PASS
220, 3.125, 8.500, -8.500, PASS
230, 3.125, 8.500, -8.500, PASS
240, 3.125, 8.500, -8.500, PASS
251, 3.125, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.000, 8.500, -8.500, PASS
30, 3.125, 8.500, -8.500, PASS
45, 3.250, 8.500, -8.500, PASS
55, 3.250, 8.500, -8.500, PASS
65, 3.250, 8.500, -8.500, PASS
75, 3.250, 8.500, -8.500, PASS
90, 3.125, 8.500, -8.500, PASS
105, 3.125, 8.500, -8.500, PASS
975, 2.875, 8.500, -8.500, PASS
1000, 2.875, 8.500, -8.500, PASS
1010, 2.875, 8.500, -8.500, PASS
1023, 3.000, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.750, 8.500, -9.500, PASS
570, 0.875, 8.500, -9.500, PASS
600, 1.000, 8.500, -9.500, PASS
630, 1.000, 8.500, -9.500, PASS
670, 1.000, 8.500, -9.500, PASS
700, 0.875, 8.500, -9.500, PASS
730, 0.875, 8.500, -9.500, PASS
760, 1.000, 8.500, -9.500, PASS
790, 1.125, 8.500, -9.500, PASS
820, 1.125, 8.500, -9.500, PASS
850, 1.125, 8.500, -9.500, PASS
885, 1.000, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.875, 8.500, -9.500, PASS
550, 1.000, 8.500, -9.500, PASS
570, 1.000, 8.500, -9.500, PASS
600, 1.125, 8.500, -9.500, PASS
630, 1.125, 8.500, -9.500, PASS
660, 1.125, 8.500, -9.500, PASS
690, 1.250, 8.500, -9.500, PASS
720, 1.375, 8.500, -9.500, PASS
750, 1.500, 8.500, -9.500, PASS
770, 1.625, 8.500, -9.500, PASS
790, 1.750, 8.500, -9.500, PASS
810, 1.750, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/17/18 16:36:59.095 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4005 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 503, 32.50000, 1.00000
1, 190, 6, 401, 30.50000, 1.00000
1, 190, 7, 354, 29.10000, 1.00000
1, 190, 8, 307, 27.10000, 1.00000
1, 190, 9, 273, 25.10000, 1.00000
1, 190, 10, 245, 23.10000, 1.00000
1, 190, 11, 223, 21.10000, 1.00000
1, 190, 12, 207, 19.10000, 1.00000
1, 190, 13, 193, 17.10000, 1.00000
1, 190, 14, 182, 15.10000, 1.00000
1, 190, 15, 172, 13.10000, 1.00000
1, 190, 16, 164, 11.00000, 1.00000
1, 190, 17, 156, 9.00000, 1.00000
1, 190, 18, 150, 7.00000, 1.00000
1, 190, 19, 144, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 493, 32.50000, 1.00000
2, 65, 6, 398, 30.50000, 1.00000
2, 65, 7, 355, 29.10000, 1.00000
2, 65, 8, 310, 27.10000, 1.00000
2, 65, 9, 276, 25.10000, 1.00000
2, 65, 10, 249, 23.10000, 1.00000
2, 65, 11, 229, 21.10000, 1.00000
2, 65, 12, 212, 19.10000, 1.00000
2, 65, 13, 199, 17.10000, 1.00000
2, 65, 14, 187, 15.10000, 1.00000
2, 65, 15, 178, 13.10000, 1.00000
2, 65, 16, 168, 11.00000, 1.00000
2, 65, 17, 161, 9.00000, 1.00000
2, 65, 18, 154, 7.00000, 1.00000
2, 65, 19, 148, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 487, 29.50000, 1.00000
3, 700, 1, 399, 27.50000, 1.00000
3, 700, 2, 356, 26.00000, 1.00000
3, 700, 3, 312, 24.00000, 1.00000
3, 700, 4, 279, 22.00000, 1.00000
3, 700, 5, 252, 20.00000, 1.00000
3, 700, 6, 232, 18.00000, 1.00000
3, 700, 7, 215, 16.00000, 1.00000
3, 700, 8, 202, 14.00000, 1.00000
3, 700, 9, 190, 12.00000, 1.00000
3, 700, 10, 181, 10.00000, 1.00000
3, 700, 11, 172, 8.00000, 1.00000
3, 700, 12, 165, 6.20000, 1.00000
3, 700, 13, 158, 4.10000, 1.00000
3, 700, 14, 154, 2.50000, 1.00000
3, 700, 15, 148, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 490, 29.50000, 1.00000
4, 660, 1, 402, 27.40000, 1.00000
4, 660, 2, 357, 25.80000, 1.00000
4, 660, 3, 319, 24.00000, 1.00000
4, 660, 4, 286, 22.00000, 1.00000
4, 660, 5, 260, 20.00000, 1.00000
4, 660, 6, 239, 18.00000, 1.00000
4, 660, 7, 222, 16.00000, 1.00000
4, 660, 8, 208, 14.00000, 1.00000
4, 660, 9, 196, 12.00000, 1.00000
4, 660, 10, 186, 10.00000, 1.00000
4, 660, 11, 176, 7.90000, 1.00000
4, 660, 12, 169, 5.90000, 1.00000
4, 660, 13, 162, 3.90000, 1.00000
4, 660, 14, 157, 2.40000, 1.00000
4, 660, 15, 151, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.55262, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.55128, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.13615, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.13346, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.18665, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.19025, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.09711, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.15650, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.08765, 17.10000, 16.50000, 17.80000, PASS
