[Report Generation Time (2018/09/17 12:07:22.322 )]
[GSM FHC]
 Start Time:09/17/18 12:07:14.849 
    Total: 3355 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3996,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.505376,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.375, 8.500, -8.500, PASS
150, 3.375, 8.500, -8.500, PASS
160, 3.250, 8.500, -8.500, PASS
170, 3.000, 8.500, -8.500, PASS
180, 3.000, 8.500, -8.500, PASS
190, 2.875, 8.500, -8.500, PASS
200, 2.750, 8.500, -8.500, PASS
210, 2.750, 8.500, -8.500, PASS
220, 2.750, 8.500, -8.500, PASS
230, 2.750, 8.500, -8.500, PASS
240, 2.750, 8.500, -8.500, PASS
251, 2.875, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.750, 8.500, -8.500, PASS
30, 2.875, 8.500, -8.500, PASS
45, 3.000, 8.500, -8.500, PASS
55, 3.000, 8.500, -8.500, PASS
65, 3.000, 8.500, -8.500, PASS
75, 3.000, 8.500, -8.500, PASS
90, 2.875, 8.500, -8.500, PASS
105, 2.750, 8.500, -8.500, PASS
975, 2.500, 8.500, -8.500, PASS
1000, 2.500, 8.500, -8.500, PASS
1010, 2.625, 8.500, -8.500, PASS
1023, 2.625, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.625, 8.500, -9.500, PASS
570, 0.625, 8.500, -9.500, PASS
600, 0.750, 8.500, -9.500, PASS
630, 0.625, 8.500, -9.500, PASS
670, 0.625, 8.500, -9.500, PASS
700, 0.625, 8.500, -9.500, PASS
730, 0.750, 8.500, -9.500, PASS
760, 0.750, 8.500, -9.500, PASS
790, 0.750, 8.500, -9.500, PASS
820, 0.750, 8.500, -9.500, PASS
850, 0.750, 8.500, -9.500, PASS
885, 0.625, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.750, 8.500, -9.500, PASS
550, 0.750, 8.500, -9.500, PASS
570, 0.875, 8.500, -9.500, PASS
600, 0.875, 8.500, -9.500, PASS
630, 0.875, 8.500, -9.500, PASS
660, 1.000, 8.500, -9.500, PASS
690, 1.125, 8.500, -9.500, PASS
720, 1.250, 8.500, -9.500, PASS
750, 1.375, 8.500, -9.500, PASS
770, 1.500, 8.500, -9.500, PASS
790, 1.500, 8.500, -9.500, PASS
810, 1.625, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/17/18 12:07:18.296 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 3944 ms
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
1, 190, 5, 537, 32.50000, 1.00000
1, 190, 6, 418, 30.50000, 1.00000
1, 190, 7, 365, 29.10000, 1.00000
1, 190, 8, 314, 27.10000, 1.00000
1, 190, 9, 277, 25.10000, 1.00000
1, 190, 10, 248, 23.10000, 1.00000
1, 190, 11, 225, 21.10000, 1.00000
1, 190, 12, 208, 19.10000, 1.00000
1, 190, 13, 194, 17.10000, 1.00000
1, 190, 14, 182, 15.10000, 1.00000
1, 190, 15, 172, 13.10000, 1.00000
1, 190, 16, 163, 11.00000, 1.00000
1, 190, 17, 156, 9.00000, 1.00000
1, 190, 18, 149, 7.00000, 1.00000
1, 190, 19, 143, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
2, 65, 5, 533, 32.50000, 1.00000
2, 65, 6, 418, 30.50000, 1.00000
2, 65, 7, 368, 29.10000, 1.00000
2, 65, 8, 319, 27.10000, 1.00000
2, 65, 9, 282, 25.10000, 1.00000
2, 65, 10, 254, 23.10000, 1.00000
2, 65, 11, 231, 21.10000, 1.00000
2, 65, 12, 214, 19.10000, 1.00000
2, 65, 13, 200, 17.10000, 1.00000
2, 65, 14, 188, 15.10000, 1.00000
2, 65, 15, 178, 13.10000, 1.00000
2, 65, 16, 168, 11.00000, 1.00000
2, 65, 17, 161, 9.00000, 1.00000
2, 65, 18, 154, 7.00000, 1.00000
2, 65, 19, 148, 5.10000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
3, 700, 0, 517, 29.50000, 1.00000
3, 700, 1, 408, 27.50000, 1.00000
3, 700, 2, 361, 26.00000, 1.00000
3, 700, 3, 314, 24.00000, 1.00000
3, 700, 4, 279, 22.00000, 1.00000
3, 700, 5, 251, 20.00000, 1.00000
3, 700, 6, 230, 18.00000, 1.00000
3, 700, 7, 213, 16.00000, 1.00000
3, 700, 8, 199, 14.00000, 1.00000
3, 700, 9, 187, 12.00000, 1.00000
3, 700, 10, 177, 10.00000, 1.00000
3, 700, 11, 169, 8.00000, 1.00000
3, 700, 12, 162, 6.20000, 1.00000
3, 700, 13, 155, 4.10000, 1.00000
3, 700, 14, 151, 2.50000, 1.00000
3, 700, 15, 145, 0.30000, 1.00000
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 0, 532, 29.50000, 1.00000
4, 660, 1, 419, 27.40000, 1.00000
4, 660, 2, 368, 25.80000, 1.00000
4, 660, 3, 325, 24.00000, 1.00000
4, 660, 4, 289, 22.00000, 1.00000
4, 660, 5, 261, 20.00000, 1.00000
4, 660, 6, 239, 18.00000, 1.00000
4, 660, 7, 221, 16.00000, 1.00000
4, 660, 8, 207, 14.00000, 1.00000
4, 660, 9, 194, 12.00000, 1.00000
4, 660, 10, 184, 10.00000, 1.00000
4, 660, 11, 174, 7.90000, 1.00000
4, 660, 12, 166, 5.90000, 1.00000
4, 660, 13, 159, 3.90000, 1.00000
4, 660, 14, 155, 2.40000, 1.00000
4, 660, 15, 148, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.53245, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.53730, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.14164, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.15739, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.16266, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.19877, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.12360, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.15586, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.16468, 17.10000, 16.50000, 17.80000, PASS
