[Report Generation Time (2018/09/17 21:32:59.273 )]
[GSM FHC]
 Start Time:09/17/18 21:32:50.763 
    Total: 3514 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      3915,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.505376,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.250, 8.500, -8.500, PASS
150, 3.125, 8.500, -8.500, PASS
160, 3.000, 8.500, -8.500, PASS
170, 2.875, 8.500, -8.500, PASS
180, 2.875, 8.500, -8.500, PASS
190, 2.750, 8.500, -8.500, PASS
200, 2.750, 8.500, -8.500, PASS
210, 2.625, 8.500, -8.500, PASS
220, 2.625, 8.500, -8.500, PASS
230, 2.625, 8.500, -8.500, PASS
240, 2.625, 8.500, -8.500, PASS
251, 2.750, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 2.750, 8.500, -8.500, PASS
30, 2.875, 8.500, -8.500, PASS
45, 3.000, 8.500, -8.500, PASS
55, 3.000, 8.500, -8.500, PASS
65, 3.000, 8.500, -8.500, PASS
75, 3.000, 8.500, -8.500, PASS
90, 2.875, 8.500, -8.500, PASS
105, 2.750, 8.500, -8.500, PASS
975, 2.500, 8.500, -8.500, PASS
1000, 2.500, 8.500, -8.500, PASS
1010, 2.625, 8.500, -8.500, PASS
1023, 2.750, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 0.125, 8.500, -9.500, PASS
570, 0.250, 8.500, -9.500, PASS
600, 0.375, 8.500, -9.500, PASS
630, 0.375, 8.500, -9.500, PASS
670, 0.250, 8.500, -9.500, PASS
700, 0.250, 8.500, -9.500, PASS
730, 0.375, 8.500, -9.500, PASS
760, 0.500, 8.500, -9.500, PASS
790, 0.500, 8.500, -9.500, PASS
820, 0.500, 8.500, -9.500, PASS
850, 0.500, 8.500, -9.500, PASS
885, 0.375, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.375, 8.500, -9.500, PASS
550, 0.375, 8.500, -9.500, PASS
570, 0.500, 8.500, -9.500, PASS
600, 0.500, 8.500, -9.500, PASS
630, 0.500, 8.500, -9.500, PASS
660, 0.500, 8.500, -9.500, PASS
690, 0.625, 8.500, -9.500, PASS
720, 0.750, 8.500, -9.500, PASS
750, 1.000, 8.500, -9.500, PASS
770, 1.125, 8.500, -9.500, PASS
790, 1.250, 8.500, -9.500, PASS
810, 1.250, 8.500, -9.500, PASS
[GSM FHC UTS]
 Start Time:09/17/18 21:32:54.457 
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
GSM850, 14, 15.17753, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.11005, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 10.96317, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 9.09611, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 6.94752, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.25315, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.53806, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.54075, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.15992, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.15815, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.11893, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.22407, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.18455, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.12363, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.24006, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.20862, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.06022, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.04703, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 9.00776, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 6.99882, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.05958, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.52894, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.51329, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 25.99946, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 23.98512, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 22.03184, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 19.93782, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 18.03657, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 16.04139, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 14.03041, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 11.96742, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.93702, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 8.08949, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.23277, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.16352, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.50856, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.33799, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.53546, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.41324, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.82230, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 23.98822, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.01410, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.99814, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 18.03149, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 15.94781, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 13.98788, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 11.99622, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 10.07935, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.86838, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.82254, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.82977, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.22424, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.12424, 0.20000, -0.50000, 1.00000, PASS
[GSM Path Test]
 Start Time:09/17/18 21:32:59.193 
    Total: 80 ms
