[Report Generation Time (2018/09/20 13:06:29.410 )]
[GSM FHC]
 Start Time:09/20/18 13:06:21.138 
    Total: 3318 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        12,          0,         31,         PASS
[DCXO LPM Calibration]
Cload
62790
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4138,       2000,       7000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  5.626374,   1.000000,  10.000000,       PASS
[AGC Calibration]
Band: (GSM850)
Arfcn, Gain offset, MAX, MIN, Check Result
140, 3.250, 8.500, -8.500, PASS
150, 3.250, 8.500, -8.500, PASS
160, 3.250, 8.500, -8.500, PASS
170, 3.000, 8.500, -8.500, PASS
180, 3.000, 8.500, -8.500, PASS
190, 3.000, 8.500, -8.500, PASS
200, 2.875, 8.500, -8.500, PASS
210, 2.875, 8.500, -8.500, PASS
220, 2.875, 8.500, -8.500, PASS
230, 2.875, 8.500, -8.500, PASS
240, 2.875, 8.500, -8.500, PASS
251, 2.875, 8.500, -8.500, PASS
Band: (GSM900)
Arfcn, Gain offset, MAX, MIN, Check Result
15, 3.125, 8.500, -8.500, PASS
30, 3.250, 8.500, -8.500, PASS
45, 3.375, 8.500, -8.500, PASS
55, 3.375, 8.500, -8.500, PASS
65, 3.375, 8.500, -8.500, PASS
75, 3.375, 8.500, -8.500, PASS
90, 3.250, 8.500, -8.500, PASS
105, 3.250, 8.500, -8.500, PASS
975, 2.875, 8.500, -8.500, PASS
1000, 3.000, 8.500, -8.500, PASS
1010, 3.000, 8.500, -8.500, PASS
1023, 3.125, 8.500, -8.500, PASS
Band: (DCS1800)
Arfcn, Gain offset, MAX, MIN, Check Result
540, 1.125, 8.500, -9.500, PASS
570, 1.250, 8.500, -9.500, PASS
600, 1.375, 8.500, -9.500, PASS
630, 1.375, 8.500, -9.500, PASS
670, 1.375, 8.500, -9.500, PASS
700, 1.250, 8.500, -9.500, PASS
730, 1.250, 8.500, -9.500, PASS
760, 1.250, 8.500, -9.500, PASS
790, 1.375, 8.500, -9.500, PASS
820, 1.500, 8.500, -9.500, PASS
850, 1.375, 8.500, -9.500, PASS
885, 1.250, 8.500, -9.500, PASS
Band: (PCS1900)
Arfcn, Gain offset, MAX, MIN, Check Result
530, 0.750, 8.500, -9.500, PASS
550, 0.750, 8.500, -9.500, PASS
570, 0.875, 8.500, -9.500, PASS
600, 0.875, 8.500, -9.500, PASS
630, 0.875, 8.500, -9.500, PASS
660, 0.875, 8.500, -9.500, PASS
690, 0.875, 8.500, -9.500, PASS
720, 0.875, 8.500, -9.500, PASS
750, 1.000, 8.500, -9.500, PASS
770, 1.125, 8.500, -9.500, PASS
790, 1.250, 8.500, -9.500, PASS
810, 1.375, 8.500, -9.500, PASS
 Start Time:09/20/18 13:06:24.504 
[GSM APC Calibration]
[FHC PCL Calibration]
Band, Arfcn, PCL, APC DAC, Target Power, Weighting
4, 660, 12, 171, 5.90000, 1.00000
4, 660, 13, 163, 3.90000, 1.00000
4, 660, 14, 158, 2.40000, 1.00000
4, 660, 15, 152, 0.20000, 1.00000
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM850, 5, 32.56220, 32.50000, 32.00000, 33.00000, PASS
GSM850, 6, 30.55155, 30.50000, 30.00000, 31.00000, PASS
GSM850, 7, 29.15046, 29.10000, 28.50000, 29.50000, PASS
GSM850, 8, 27.14445, 27.10000, 26.50000, 27.80000, PASS
GSM850, 9, 25.16910, 25.10000, 24.50000, 25.80000, PASS
GSM850, 10, 23.14725, 23.10000, 22.50000, 23.80000, PASS
GSM850, 11, 21.14365, 21.10000, 20.50000, 21.80000, PASS
GSM850, 12, 19.12906, 19.10000, 18.50000, 19.80000, PASS
GSM850, 13, 17.15076, 17.10000, 16.50000, 17.80000, PASS
GSM850, 14, 15.18357, 15.10000, 14.50000, 15.80000, PASS
GSM850, 15, 13.06989, 13.10000, 12.50000, 13.80000, PASS
GSM850, 16, 11.14902, 11.00000, 10.00000, 12.00000, PASS
GSM850, 17, 8.96851, 9.00000, 8.00000, 10.00000, PASS
GSM850, 18, 7.10840, 7.00000, 6.00000, 8.00000, PASS
GSM850, 19, 5.04856, 5.10000, 4.00000, 6.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
GSM900, 5, 32.53049, 32.50000, 32.00000, 33.00000, PASS
GSM900, 6, 30.55222, 30.50000, 30.00000, 31.00000, PASS
GSM900, 7, 29.15867, 29.10000, 28.50000, 29.50000, PASS
GSM900, 8, 27.16935, 27.10000, 26.50000, 27.80000, PASS
GSM900, 9, 25.13639, 25.10000, 24.50000, 25.80000, PASS
GSM900, 10, 23.23215, 23.10000, 22.50000, 23.80000, PASS
GSM900, 11, 21.18979, 21.10000, 20.50000, 21.80000, PASS
GSM900, 12, 19.11881, 19.10000, 18.50000, 19.80000, PASS
GSM900, 13, 17.22855, 17.10000, 16.50000, 17.80000, PASS
GSM900, 14, 15.19214, 15.10000, 14.50000, 15.80000, PASS
GSM900, 15, 13.25281, 13.10000, 12.50000, 13.80000, PASS
GSM900, 16, 11.02332, 11.00000, 10.00000, 12.00000, PASS
GSM900, 17, 8.97761, 9.00000, 8.00000, 10.00000, PASS
GSM900, 18, 6.96595, 7.00000, 6.00000, 8.00000, PASS
GSM900, 19, 5.02769, 5.10000, 4.00000, 6.30000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
DCS1800, 0, 29.53950, 29.50000, 29.00000, 30.00000, PASS
DCS1800, 1, 27.52324, 27.50000, 27.00000, 28.00000, PASS
DCS1800, 2, 26.01310, 26.00000, 25.00000, 26.50000, PASS
DCS1800, 3, 24.02324, 24.00000, 23.50000, 24.50000, PASS
DCS1800, 4, 21.99537, 22.00000, 21.50000, 22.50000, PASS
DCS1800, 5, 20.02968, 20.00000, 19.50000, 20.50000, PASS
DCS1800, 6, 18.04557, 18.00000, 17.50000, 18.50000, PASS
DCS1800, 7, 15.98063, 16.00000, 15.50000, 16.50000, PASS
DCS1800, 8, 13.97233, 14.00000, 13.50000, 14.50000, PASS
DCS1800, 9, 12.06559, 12.00000, 11.50000, 12.50000, PASS
DCS1800, 10, 9.99269, 10.00000, 9.00000, 11.00000, PASS
DCS1800, 11, 8.01225, 8.00000, 7.00000, 9.00000, PASS
DCS1800, 12, 6.27238, 6.20000, 5.00000, 7.00000, PASS
DCS1800, 13, 4.00895, 4.10000, 3.00000, 5.00000, PASS
DCS1800, 14, 2.41899, 2.50000, 1.50000, 3.50000, PASS
DCS1800, 15, 0.33049, 0.30000, -0.50000, 1.00000, PASS
Band, PCL, TX Power, Target Power, MIN Power, MAX Power, Check Result
PCS1900, 0, 29.55466, 29.50000, 29.00000, 30.00000, PASS
PCS1900, 1, 27.43573, 27.40000, 26.70000, 28.00000, PASS
PCS1900, 2, 25.82623, 25.80000, 25.00000, 26.50000, PASS
PCS1900, 3, 24.00653, 24.00000, 23.50000, 24.50000, PASS
PCS1900, 4, 22.01544, 22.00000, 21.50000, 22.50000, PASS
PCS1900, 5, 19.98846, 20.00000, 19.50000, 20.50000, PASS
PCS1900, 6, 17.96204, 18.00000, 17.50000, 18.50000, PASS
PCS1900, 7, 16.00687, 16.00000, 15.50000, 16.50000, PASS
PCS1900, 8, 14.03876, 14.00000, 13.50000, 14.50000, PASS
PCS1900, 9, 12.00934, 12.00000, 11.50000, 12.50000, PASS
PCS1900, 10, 10.01657, 10.00000, 9.00000, 11.00000, PASS
PCS1900, 11, 7.90179, 7.90000, 7.00000, 9.00000, PASS
PCS1900, 12, 5.96783, 5.90000, 5.00000, 7.00000, PASS
PCS1900, 13, 3.76605, 3.90000, 2.90000, 5.50000, PASS
PCS1900, 14, 2.24442, 2.40000, 1.50000, 3.50000, PASS
PCS1900, 15, 0.21985, 0.20000, -0.50000, 1.00000, PASS
[GSM FHC UTS]
[FHC TX Subband Calibration]
Band: (GSM850)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (GSM900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (DCS1800)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
Band: (PCS1900)
Arfcn, High/Low, PCL, Original DAC, New APC DAC, Weighting
    Total: 4666 ms
[GSM Path Test]
 Start Time:09/20/18 13:06:29.330 
    Total: 80 ms
